marca,modelo,tipo,proveedor,precio_compra,precio_venta,notas
Honor,X8,LCD,J&A,125.0,280.0,
Honor,X5,LCD,J&A,125.0,380.0,
Huawei,Nova 4,LCD,J&A,190.0,350.0,
Huawei,Nova 5T,LCD,J&A,155.0,310.0,
Huawei,P30 Lite,LCD,J&A,150.0,330.0,
Huawei,Y5 2019,LCD,J&A,100.0,230.0,
Huawei,Y7 2019,LCD,J&A,125.0,270.0,
Huawei,Y8s,LCD,J&A,160.0,320.0,
Huawei,Y9s,LCD,J&A,175.0,300.0,
Infinix,Hot 10 Lite,LCD,J&A,115.0,270.0,
Infinix,Hot 11 Play,LCD,J&A,130.0,290.0,
Infinix,Hot 20s,LCD,J&A,135.0,300.0,
Infinix,Hot 30i,LCD,J&A,115.0,260.0,
Infinix,Hot 40i,LCD,J&A,125.0,280.0,
Infinix,Note 12,LCD,J&A,130.0,290.0,
Infinix,Note 30 Pro,LCD,J&A,180.0,350.0,
Infinix,Note 40 Pro,OLED,J&A,850.0,1100.0,
Infinix,Note 40 Pro,LCD,J&A,240.0,450.0,
Infinix,Zero 30,LCD,J&A,230.0,350.0,
Poco,F3,LCD,J&A,160.0,300.0,
Poco,M3,LCD,J&A,130.0,290.0,
Poco,X3,LCD,J&A,125.0,280.0,
Poco,x5 pr,LCD,J&A,170.0,350.0,
Poco,X4 Pro 5G,OLED,J&A,380.0,350.0,
Poco,X4 Pro 5G,LCD,J&A,160.0,630.0,
Realme,C55,LCD,J&A,130.0,290.0,
Realme,GT Master,OLED,J&A,450.0,650.0,
Realme,GT Master,LCD,J&A,190.0,350.0,
Samsung,A01,LCD,J&A,100.0,240.0,
Samsung,A13,LCD,J&A,120.0,270.0,
Samsung,A23,LCD,J&A,120.0,280.0,
Samsung,A32,OLED,J&A,320.0,490.0,
Samsung,A32,LCD,J&A,170.0,330.0,
Samsung,A34,OLED,J&A,390.0,600.0,
Samsung,A34,LCD,J&A,220.0,370.0,
Samsung,A54,OLED,J&A,440.0,650.0,
Samsung,A54,LCD,J&A,220.0,380.0,
Samsung,A51,OLED,J&A,330.0,550.0,
Samsung,A51,LCD,J&A,160.0,330.0,
Samsung,A52,OLED,J&A,440.0,650.0,
Samsung,A52,LCD,J&A,180.0,350.0,
Samsung,A70,OLED,J&A,540.0,750.0,
Samsung,A70,LCD,J&A,160.0,350.0,
Samsung,A71,OLED,J&A,470.0,330.0,
Samsung,A71,LCD,J&A,170.0,680.0,
Samsung,J7 Pro,LCD,J&A,140.0,330.0,
Tecno,Camon 17P,LCD,J&A,135.0,290.0,
Tecno,Pop 5 Lite,LCD,J&A,105.0,230.0,
Tecno,Pop 7,LCD,J&A,105.0,230.0,
Tecno,Pova Neo,LCD,J&A,115.0,240.0,
Tecno,Pova 4,LCD,J&A,120.0,290.0,
Tecno,Pova 4 Pro,OLED,J&A,380.0,680.0,
Tecno,Pova 4 Pro,LCD,J&A,140.0,300.0,
Tecno,Pova 5,LCD,J&A,145.0,310.0,
Tecno,Spark 10 Pro,LCD,J&A,130.0,280.0,
Tecno,Spark 6 Go,LCD,J&A,124.0,280.0,
Tecno,Spark 7 Pro,LCD,J&A,120.0,270.0,
Xiaomi,Redmi 7A,LCD,J&A,110.0,240.0,
Xiaomi,Redmi 9T,LCD,J&A,120.0,280.0,
Xiaomi,Redmi Note 12 pro,OLED,J&A,400.0,350.0,
Xiaomi,Redmi Note 12 pro,LCD,J&A,150.0,640.0,
Xiaomi,Redmi Note 12 4G,OLED,J&A,380.0,590.0,
Xiaomi,Redmi Note 12 4G,LCD,J&A,150.0,300.0,
Xiaomi,Note 11 pro,OLED,J&A,380.0,580.0,
Xiaomi,Note 11 pro,LCD,J&A,140.0,300.0,
Xiaomi,Redmi Note 10,OLED,J&A,290.0,320.0,
Xiaomi,Redmi Note 10,LCD,J&A,160.0,480.0,
Xiaomi,Redmi Note 10pro,OLED,J&A,400.0,590.0,
Xiaomi,Redmi Note 10pro,LCD,J&A,150.0,320.0,
Xiaomi,Redmi Note 12s,OLED,J&A,380.0,590.0,
Xiaomi,Redmi Note 12s,LCD,J&A,150.0,320.0,
Xiaomi,Redmi Note 8,LCD,J&A,115.0,280.0,
Xiaomi,Redmi Note 9,LCD,J&A,120.0,270.0,
Xiaomi,Redmi Note 9 Pro,LCD,J&A,125.0,280.0,
Xiaomi,Redmi Note 9S,LCD,J&A,130.0,280.0,
ZTE,Blade A31 Plus,LCD,J&A,130.0,290.0,
